Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 07:25:19.136,13052.781,13049.269,0.0004,0.0004
07.04.2023 07:25:32.096,13052.581000000002,13049.237,0.0004,0.0004
07.04.2023 07:25:32.146,13052.671000000002,13049.128999999999,0.0004,0.0004
07.04.2023 07:25:32.256,13052.581000000002,13049.117,0.0004,0.0004
07.04.2023 07:25:32.306,13052.551000000001,13049.069,0.0004,0.0004
07.04.2023 07:25:41.973,13052.031,13048.599,0.0004,0.0012
07.04.2023 07:25:42.023,13052.021,13048.798999999999,0.0004,0.0004
07.04.2023 07:25:45.769,13051.791000000001,13048.259,0.0004,0.0012
07.04.2023 07:25:45.820,13051.741000000002,13048.219,0.0004,0.0004
07.04.2023 07:25:45.928,13051.641000000001,13048.257,0.0004,0.0004
07.04.2023 07:25:45.979,13051.621000000001,13048.118999999999,0.0004,0.0004
07.04.2023 07:25:48.630,13051.693000000001,13048.278999999999,0.0004,0.0004
07.04.2023 07:25:48.680,13051.791000000001,13048.239,0.0004,0.0004
07.04.2023 07:26:00.834,13051.513,13048.739,0.0004,0.0004
07.04.2023 07:26:00.884,13052.211000000001,13048.819,0.0004,0.0004
07.04.2023 07:26:02.916,13052.101,13048.787,0.0004,0.0004
07.04.2023 07:26:02.967,13052.121000000001,13048.628999999999,0.0004,0.0004
07.04.2023 07:26:03.343,13052.083,13048.749,0.0004,0.0004
07.04.2023 07:26:03.393,13052.241000000002,13048.769,0.0004,0.0004
07.04.2023 07:26:10.904,13052.213000000002,13048.868999999999,0.0004,0.0004
07.04.2023 07:26:10.955,13052.331000000002,13048.889,0.0004,0.0004
07.04.2023 07:26:11.758,13052.251000000002,13048.887,0.0004,0.0004
07.04.2023 07:26:11.809,13052.231000000002,13048.708999999999,0.0004,0.0004
07.04.2023 07:26:17.071,13052.111,13048.726999999999,0.0004,0.0004
07.04.2023 07:26:17.121,13052.141000000001,13048.899,0.0004,0.0004
07.04.2023 07:26:17.770,13051.701000000001,13048.239,0.0004,0.0012
07.04.2023 07:26:17.821,13051.501000000002,13048.499,0.0004,0.0004
07.04.2023 07:26:20.668,13051.591,13048.257,0.0004,0.0004
07.04.2023 07:26:20.718,13051.641000000001,13048.198999999999,0.0004,0.0004
07.04.2023 07:26:34.251,13049.731000000002,13046.219,0.0004,0.0012
07.04.2023 07:26:34.302,13049.771,13046.269,0.0004,0.0004
07.04.2023 07:26:34.413,13049.671000000002,13046.287,0.0004,0.0004
07.04.2023 07:26:34.463,13049.581000000002,13046.118999999999,0.0004,0.0004
07.04.2023 07:26:34.572,13049.673,13046.259,0.0004,0.0004
07.04.2023 07:26:34.622,13049.781,13046.229,0.0004,0.0004
07.04.2023 07:26:34.733,13049.481000000002,13046.226999999999,0.0004,0.0004
07.04.2023 07:26:34.784,13049.481000000002,13046.009,0.0004,0.0004
07.04.2023 07:26:35.213,13049.321000000002,13045.919,0.0004,0.0012
07.04.2023 07:26:35.264,13049.351,13045.858999999999,0.0004,0.0004
07.04.2023 07:26:35.567,13049.383000000002,13046.028999999999,0.0004,0.0004
07.04.2023 07:26:35.618,13049.491000000002,13046.079,0.0004,0.0004
07.04.2023 07:26:36.145,13049.311000000002,13046.087,0.0004,0.0004
07.04.2023 07:26:36.196,13049.281,13045.889,0.0004,0.0004
07.04.2023 07:26:36.306,13049.103000000001,13046.298999999999,0.0004,0.0004
07.04.2023 07:26:36.356,13049.571000000002,13046.059,0.0004,0.0004
07.04.2023 07:26:37.168,13049.111,13046.077,0.0004,0.0004
07.04.2023 07:26:37.218,13049.311000000002,13045.858999999999,0.0004,0.0004
07.04.2023 07:26:37.952,13049.353000000001,13046.079,0.0004,0.0004
07.04.2023 07:26:38.003,13049.521,13046.009,0.0004,0.0004
07.04.2023 07:26:38.187,13049.361,13046.057,0.0004,0.0004
07.04.2023 07:26:38.237,13049.381000000001,13045.889,0.0004,0.0004
07.04.2023 07:26:45.806,13049.293000000001,13047.219,0.0004,0.0004
07.04.2023 07:26:45.856,13050.751000000002,13047.309,0.0004,0.0004
07.04.2023 07:26:47.023,13050.231000000002,13046.708999999999,0.0004,0.0012
07.04.2023 07:26:47.074,13050.211000000001,13046.778999999999,0.0004,0.0004
07.04.2023 07:26:48.046,13049.991000000002,13046.707,0.0004,0.0004
07.04.2023 07:26:48.096,13050.011,13046.528999999999,0.0004,0.0004
07.04.2023 07:26:49.337,13050.043000000001,13046.628999999999,0.0004,0.0004
07.04.2023 07:26:49.388,13050.181,13046.889,0.0004,0.0004
07.04.2023 07:26:50.134,13050.143,13046.809,0.0004,0.0004
07.04.2023 07:26:50.185,13050.231000000002,13046.759,0.0004,0.0004
07.04.2023 07:26:53.338,13050.243,13047.069,0.0004,0.0004
07.04.2023 07:26:53.389,13050.561000000002,13047.108999999999,0.0004,0.0004
07.04.2023 07:26:57.297,13050.361,13047.077,0.0004,0.0004
07.04.2023 07:26:57.347,13050.301000000001,13046.868999999999,0.0004,0.0004
07.04.2023 07:26:59.687,13050.521,13047.089,0.0004,0.0004
07.04.2023 07:27:00.546,13050.341,13047.067,0.0004,0.0004
07.04.2023 07:27:00.597,13050.371000000001,13046.819,0.0004,0.0004
07.04.2023 07:27:00.706,13050.363000000001,13047.298999999999,0.0004,0.0004
07.04.2023 07:27:00.756,13050.301000000001,13047.079,0.0004,0.0004
07.04.2023 07:27:03.089,13050.321000000002,13047.017,0.0004,0.0004
07.04.2023 07:27:03.140,13050.391000000001,13046.839,0.0004,0.0004
07.04.2023 07:27:03.247,13049.721000000001,13046.239,0.0004,0.0012
07.04.2023 07:27:03.297,13049.721000000001,13046.298999999999,0.0004,0.0004
07.04.2023 07:27:03.756,13049.783000000001,13046.378999999999,0.0004,0.0004
07.04.2023 07:27:03.807,13049.781,13046.589,0.0004,0.0004
